----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/GAUSSIAN.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 3
Execution Info - Random | Iters:   1000 | TTime: 0.00499 | LastNorm: 2.61103e-07 | Iterations/sec: 200205.44153 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00516 | LastNorm: 2.89404e-07 | Iterations/sec: 193803.89982 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00497 | LastNorm: 2.25649e-07 | Iterations/sec: 201329.81328 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00500 | LastNorm: 2.11376e-07 | Iterations/sec: 199881.05223 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00495 | LastNorm: 2.07515e-07 | Iterations/sec: 202018.30267 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00524 | LastNorm: 2.13977e-07 | Iterations/sec: 190980.05646 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00499 | LastNorm: 4.27855e-07 | Iterations/sec: 200473.37731 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00521 | LastNorm: 2.06228e-07 | Iterations/sec: 192011.71947 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00504 | LastNorm: 2.12624e-07 | Iterations/sec: 198415.44065 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00517 | LastNorm: 5.08937e-07 | Iterations/sec: 193419.59880 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00496 | LastNorm: 7.48872e-07 | Iterations/sec: 201610.45953 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00515 | LastNorm: 4.19620e-07 | Iterations/sec: 194063.94300 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00497 | LastNorm: 2.13713e-07 | Iterations/sec: 201291.16476 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00501 | LastNorm: 2.20927e-07 | Iterations/sec: 199481.78446 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00500 | LastNorm: 3.08775e-07 | Iterations/sec: 199919.16111 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00511 | LastNorm: 2.06610e-07 | Iterations/sec: 195766.81447 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00500 | LastNorm: 2.25406e-07 | Iterations/sec: 199842.95788 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00522 | LastNorm: 3.20670e-07 | Iterations/sec: 191503.24171 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00510 | LastNorm: 2.33849e-07 | Iterations/sec: 195958.88619 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00520 | LastNorm: 2.74209e-07 | Iterations/sec: 192275.78619 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00532 | LastNorm: 2.22504e-07 | Iterations/sec: 188144.43996 | Convergence: false |
Execution Info - Random Mean (30 repetitions) | Iters:   1000 | TTime: 0.01100 | LastNorm: 2.78434e-07 | Iterations/sec: 190043.17436 | Convergence: false |
| 4 |Execution Info - Random | Iters:     89 | TTime: 0.00056 | LastNorm: 6.95570e-09 | Iterations/sec: 158915.73265 | Convergence: true |
Execution Info - Random | Iters:    242 | TTime: 0.00203 | LastNorm: 1.85278e-09 | Iterations/sec: 119203.94222 | Convergence: true |
Execution Info - Random | Iters:    206 | TTime: 0.00171 | LastNorm: 3.03017e-09 | Iterations/sec: 120187.31729 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00562 | LastNorm: 1.74574e-06 | Iterations/sec: 178064.27510 | Convergence: false |
Execution Info - Random | Iters:    246 | TTime: 0.00180 | LastNorm: 4.80579e-09 | Iterations/sec: 136355.06594 | Convergence: true |
Execution Info - Random | Iters:    165 | TTime: 0.00110 | LastNorm: 5.56672e-09 | Iterations/sec: 149861.44651 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.01301 | LastNorm: 2.14797e-05 | Iterations/sec: 76893.39469 | Convergence: false |
Execution Info - Random | Iters:     72 | TTime: 0.00051 | LastNorm: 8.67552e-09 | Iterations/sec: 142313.80207 | Convergence: true |
Execution Info - Random | Iters:     98 | TTime: 0.00063 | LastNorm: 8.02419e-09 | Iterations/sec: 156052.31283 | Convergence: true |
Execution Info - Random | Iters:    159 | TTime: 0.00104 | LastNorm: 3.57512e-09 | Iterations/sec: 153485.46283 | Convergence: true |
Execution Info - Random | Iters:    116 | TTime: 0.00075 | LastNorm: 6.30189e-09 | Iterations/sec: 155096.99203 | Convergence: true |
Execution Info - Random | Iters:    246 | TTime: 0.00189 | LastNorm: 2.06137e-09 | Iterations/sec: 130096.93406 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.01299 | LastNorm: 1.21775e-05 | Iterations/sec: 77006.33411 | Convergence: false |
Execution Info - Random | Iters:     89 | TTime: 0.00066 | LastNorm: 1.29578e-09 | Iterations/sec: 135055.37482 | Convergence: true |
Execution Info - Random | Iters:    136 | TTime: 0.00085 | LastNorm: 9.50556e-09 | Iterations/sec: 160728.47112 | Convergence: true |
Execution Info - Random | Iters:    550 | TTime: 0.00623 | LastNorm: 2.73455e-09 | Iterations/sec: 88297.75702 | Convergence: true |
Execution Info - Random | Iters:     77 | TTime: 0.00050 | LastNorm: 5.11830e-09 | Iterations/sec: 154011.16261 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00545 | LastNorm: 2.34505e-06 | Iterations/sec: 183485.89177 | Convergence: false |
Execution Info - Random | Iters:   1000 | TTime: 0.00577 | LastNorm: 4.29917e-06 | Iterations/sec: 173160.92808 | Convergence: false |
Execution Info - Random | Iters:    149 | TTime: 0.01329 | LastNorm: 1.01092e-09 | Iterations/sec: 11212.30213 | Convergence: true |
Execution Info - Random | Iters:    155 | TTime: 0.00114 | LastNorm: 8.28979e-09 | Iterations/sec: 135979.31813 | Convergence: true |
Execution Info - Random | Iters:     84 | TTime: 0.00049 | LastNorm: 9.16542e-09 | Iterations/sec: 171780.36860 | Convergence: true |
Execution Info - Random | Iters:    293 | TTime: 0.00182 | LastNorm: 3.81972e-10 | Iterations/sec: 161340.56348 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00561 | LastNorm: 4.79206e-06 | Iterations/sec: 178291.34963 | Convergence: false |
Execution Info - Random | Iters:     76 | TTime: 0.00048 | LastNorm: 2.54491e-09 | Iterations/sec: 158354.24938 | Convergence: true |
Execution Info - Random | Iters:   1000 | TTime: 0.00526 | LastNorm: 2.86649e-06 | Iterations/sec: 190079.94199 | Convergence: false |
Execution Info - Random | Iters:    151 | TTime: 0.00119 | LastNorm: 2.39824e-10 | Iterations/sec: 126364.70551 | Convergence: true |
