----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/HILBERTA.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | addedLS             
tol                  | 1.0e-8              
useLS                | true                
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 3.18980e-14 | Iterations/sec: 399457.52381 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 2.96059e-16 | Iterations/sec: 289262.34483 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 2.47648e-14 | Iterations/sec: 399457.52381 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.68463e-14 | Iterations/sec: 399457.52381 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.64510e-14 | Iterations/sec: 399457.52381 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 5.07312e-15 | Iterations/sec: 399457.52381 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 2.47369e-15 | Iterations/sec: 399457.52381 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 2.54895e-15 | Iterations/sec: 335544.32000 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00000 | LastNorm: 3.14018e-16 | Iterations/sec: 493447.52941 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 1.29837e-14 | Iterations/sec: 335544.32000 | Convergence: true |
Execution Info - Random | Iters:      2 | TTime: 0.00001 | LastNorm: 9.42055e-16 | Iterations/sec: 289262.34483 | Convergence: true |
