----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/HIMMELBH.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | original            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
Execution Info - Random | Iters:     29 | TTime: 0.00008 | LastNorm: 3.96470e-11 | Iterations/sec: 381300.36364 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00008 | LastNorm: 1.96376e-12 | Iterations/sec: 353589.58140 | Convergence: true |
Execution Info - Random | Iters:     36 | TTime: 0.00010 | LastNorm: 1.33227e-15 | Iterations/sec: 378433.44361 | Convergence: true |
Execution Info - Random | Iters:     78 | TTime: 0.00021 | LastNorm: 6.83453e-13 | Iterations/sec: 369667.47119 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00008 | LastNorm: 9.57128e-11 | Iterations/sec: 329889.07865 | Convergence: true |
Execution Info - Random | Iters:     81 | TTime: 0.00022 | LastNorm: 8.81415e-11 | Iterations/sec: 368080.84940 | Convergence: true |
Execution Info - Random | Iters:    110 | TTime: 0.00028 | LastNorm: 0.00000e+00 | Iterations/sec: 391658.26825 | Convergence: true |
Execution Info - Random Mean (30 repetitions) | Iters:     41 | TTime: 0.00011 | LastNorm: 3.64963e-10 | Iterations/sec: 358702.62319 | Convergence: true |
| 3 |Execution Info - Random | Iters:     30 | TTime: 0.00009 | LastNorm: 7.99361e-14 | Iterations/sec: 344737.31507 | Convergence: true |
Execution Info - Random | Iters:     30 | TTime: 0.00016 | LastNorm: 2.09868e-09 | Iterations/sec: 190939.48407 | Convergence: true |
Execution Info - Random | Iters:     87 | TTime: 0.00027 | LastNorm: 1.33227e-15 | Iterations/sec: 326975.31183 | Convergence: true |
Execution Info - Random | Iters:     31 | TTime: 0.00010 | LastNorm: 1.04929e-09 | Iterations/sec: 309579.58095 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00009 | LastNorm: 3.55023e-11 | Iterations/sec: 337874.48889 | Convergence: true |
Execution Info - Random | Iters:     36 | TTime: 0.00009 | LastNorm: 0.00000e+00 | Iterations/sec: 395274.72251 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00008 | LastNorm: 3.06922e-10 | Iterations/sec: 337472.73563 | Convergence: true |
Execution Info - Random | Iters:     89 | TTime: 0.00021 | LastNorm: 6.44818e-13 | Iterations/sec: 415693.82628 | Convergence: true |
Execution Info - Random | Iters:     66 | TTime: 0.00017 | LastNorm: 2.66454e-15 | Iterations/sec: 383412.83102 | Convergence: true |
Execution Info - Random | Iters:     31 | TTime: 0.00009 | LastNorm: 1.70370e-11 | Iterations/sec: 360175.68975 | Convergence: true |
Execution Info - Random | Iters:     30 | TTime: 0.00008 | LastNorm: 8.52966e-09 | Iterations/sec: 353452.58427 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00009 | LastNorm: 1.00187e-10 | Iterations/sec: 382322.61662 | Convergence: true |
Execution Info - Random | Iters:     29 | TTime: 0.00009 | LastNorm: 0.00000e+00 | Iterations/sec: 340713.77031 | Convergence: true |
Execution Info - Random | Iters:     31 | TTime: 0.00009 | LastNorm: 1.99840e-14 | Iterations/sec: 344889.71883 | Convergence: true |
Execution Info - Random | Iters:     35 | TTime: 0.00010 | LastNorm: 3.88027e-09 | Iterations/sec: 357179.17275 | Convergence: true |
Execution Info - Random | Iters:     34 | TTime: 0.00010 | LastNorm: 0.00000e+00 | Iterations/sec: 339538.89524 | Convergence: true |
Execution Info - Random | Iters:     28 | TTime: 0.00007 | LastNorm: 3.73035e-12 | Iterations/sec: 394095.67785 | Convergence: true |
