----------------------------------------
Parameters           | Value               
----------------------------------------
epsilon              | 1.0e-8              
exp_rep              | 30                  
lqueue               | 3                   
method               | RANDOM              
modifierH            | eigen               
modifierS            | none                
nIters               | 1000                
problem              | 1-cutest-sif/DENSCHNF.SIF
repetitions          | 30                  
saveinfo             | true                
seed                 | 42                  
show_info            | true                
subdirectory         | original            
tol                  | 1.0e-8              
useLS                | false               
varN                 | N                   
varP                 | -1                  
----------------------------------------
Number of variables: 2
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54492e-10 | Iterations/sec: 263319.53363 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54492e-10 | Iterations/sec: 255305.46087 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54492e-10 | Iterations/sec: 255305.46087 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00004 | LastNorm: 3.54482e-10 | Iterations/sec: 317406.78919 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54492e-10 | Iterations/sec: 269358.97248 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00006 | LastNorm: 3.54482e-10 | Iterations/sec: 254200.24242 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54482e-10 | Iterations/sec: 304250.03109 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54492e-10 | Iterations/sec: 264505.65766 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00004 | LastNorm: 3.54482e-10 | Iterations/sec: 333637.81818 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54492e-10 | Iterations/sec: 264505.65766 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00004 | LastNorm: 3.54482e-10 | Iterations/sec: 312341.78723 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54482e-10 | Iterations/sec: 304250.03109 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54482e-10 | Iterations/sec: 310689.18519 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54492e-10 | Iterations/sec: 304250.03109 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54482e-10 | Iterations/sec: 304250.03109 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54482e-10 | Iterations/sec: 274393.71963 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00004 | LastNorm: 3.54482e-10 | Iterations/sec: 319131.82609 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54482e-10 | Iterations/sec: 269358.97248 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00004 | LastNorm: 3.54492e-10 | Iterations/sec: 319131.82609 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54482e-10 | Iterations/sec: 304250.03109 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00004 | LastNorm: 3.54492e-10 | Iterations/sec: 326223.64444 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00004 | LastNorm: 3.54482e-10 | Iterations/sec: 317406.78919 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00004 | LastNorm: 3.54482e-10 | Iterations/sec: 324421.30387 | Convergence: true |
Execution Info - Random | Iters:     14 | TTime: 0.00005 | LastNorm: 3.54492e-10 | Iterations/sec: 304250.03109 | Convergence: true |
